element,sp_num,obs_wl_air,unc_obs_wl,ritz_wl_air,unc_ritz_wl,intens,Aki,log_gf,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,Type
Fe,1,502.22352,0.00008,502.22353,0.00004,7100,2.4e+07,-0.56,D+,3.98410712,6.45212430,3d64s4p,z 3F,2,3d64s 5s,e 3D,1,
Fe,2,502.24183,0.00003,502.241819,0.000023,1100,3.73e+07,-0.07,B+,10.3476866,12.8156139,3d64d,e 6F,3/2,3d64f,2[3],5/2,
Fe,2,502.27888,0.00003,502.278888,0.000020,1100,2.14e+07,-0.09,B+,10.2880497,12.7557949,3d64d,e 6F,9/2,3d64f,2[4],9/2,
Fe,1,502.2789,0.0005,502.27891,0.00004,1230,1.87e+05,-2.196,C,2.99035244,5.45809748,3d64s2,b 3G,4,3d64s4p,v 5D,4,
Fe,1,502.31863,0.00008,502.31854,0.00004,316,2.3e+06,-1.58,E,4.28330826,6.75085864,3d74p,y 5F,2,3d74d,f 3D,1,
Fe,1,502.34975,0.00020,502.34971,0.00004,234,6.0e+05,-1.69,E,4.31247059,6.77986785,3d74p,z 5G,5,3d74d,f 3F,4,
Fe,2,502.3912,0.0002,502.391187,0.000020,60,1.6e+06,-1.31,D+,10.3914073,12.8586008,3d64d,6D,5/2,3d64f,2[4],7/2,
Fe,1,502.47933,0.00020,502.47919,0.00004,302,,,,4.18636440,6.65312587,3d8,c 3F,2,3d75p,5F,3,
Fe,1,502.5084,0.0004,502.50808,0.00004,17,,,,4.26045326,6.72707289,3d64s4p,z 3P,1,3d74d,g 5F,2,
Fe,1,502.53023,0.00020,502.53029,0.00004,98,,,,4.28434800,6.75085864,3d64s4p,z 3P,0,3d74d,f 3D,1,
Fe,2,502.67980,0.00003,502.679800,0.000023,800,1.58e+07,-0.44,C+,10.3076133,12.7733903,3d64d,e 6F,7/2,3d64f,2[2],5/2,
Fe,2,502.6936,0.0003,502.69305,0.00008,21,,,,10.7578131,13.2235251,3d64p,v 4D,5/2,3d54s4d,6D,5/2,
Fe,1,502.71227,0.00008,502.71223,0.00004,4470,,,,4.15435379,6.61997175,3d74p,y 5D,3,3d74d,g 5F,4,
Fe,2,502.72250,0.00002,502.722015,0.000020,800,4.6e+05,-1.98,D+,10.3914073,12.8569773,3d64d,6D,5/2,3d64f,2[3],5/2,
Fe,1,502.7225,0.0005,502.72255,0.00004,830,4.91e+05,-1.885,C,3.63977237,6.10533975,3d64s2,b 3D,2,3d74p,w 3F,3,
Fe,1,502.73422,0.00020,502.73428,0.00004,200,,,,3.98410712,6.44961696,3d64s4p,z 3F,2,3d64s 4d,e 5P,1,
Fe,1,502.77563,0.00008,502.77564,0.00004,690,2.2e+06,-1.23,E,4.20888328,6.67419029,3d64s4p,z 3P,2,3d74d,g 5F,3,
Fe,2,,,502.78881,0.00006,,7.8e-02,-8.751,C+,2.02954815,4.49479059,3d7,a 2G,7/2,3d64s,b 2D,5/2,E2
Fe,1,502.81260,0.00008,502.81259,0.00004,6300,2.21e+06,-1.123,B,3.57321890,6.03834476,3d74s,a 1H,5,3d64s4p,y 1G,4,
Fe,2,502.90930,0.00006,502.90929,0.00003,220,3.1e+07,-0.63,C+,10.3599422,12.8245941,3d64d,e 6F,1/2,3d64f,2[1],1/2,
Fe,1,502.96173,0.00008,502.96176,0.00004,1200,5.3e+05,-2.00,D,3.41489715,5.87929188,3d74s,a 1P,1,3d64s4p,1D,2,
Fe,2,503.06317,0.00002,503.063177,0.000020,3400,7.1e+07,0.43,B+,10.2880497,12.7519476,3d64d,e 6F,9/2,3d64f,2[5],9/2,
Fe,1,503.07783,0.00008,503.07778,0.00006,620,2.60e+04,-2.830,C+,3.23672008,5.70054647,3d74s,b 3H,6,3d64s4p,z 3I,7,
Fe,1,503.10360,0.00020,503.10376,0.00004,166,,,,3.64164057,6.10533975,3d64s2,b 3D,3,3d74p,w 3F,3,
Fe,2,503.18946,0.00004,503.18925,0.00004,400,6.5e+06,-0.83,D+,10.4134460,12.8767266,3d64d,6D,3/2,3d64f,2[2],5/2,
Fe,1,503.1914,0.0004,503.19138,0.00004,170,8.4e+05,-1.65,E,4.37135106,6.83462125,3d74p,z 5G,4,3d74d,f 3F,3,
Fe,4,,,503.245,,,2.1e-01,-8.32,D,4.00484,6.46785,3d5,4G,5/2,3d5,2F2,5/2,M1
Fe,2,503.27035,0.00002,503.270361,0.000023,2000,3.93e+07,0.08,B+,10.3914073,12.8542909,3d64d,6D,5/2,3d64f,2[3],7/2,
Fe,4,,,503.359,,,4.7e-01,-7.97,D,4.00540,6.46785,3d5,4G,7/2,3d5,2F2,5/2,M1
Fe,2,503.39162,0.00016,503.39162,0.00003,90,8.e+05,-2.2,D,10.3599422,12.8222325,3d64d,e 6F,1/2,3d64f,2[0],1/2,
Fe,2,503.40039,0.00009,503.40037,0.00003,140,1.0e+07,-0.80,D+,10.3599422,12.8221898,3d64d,e 6F,1/2,3d64f,2[1],3/2,
Fe,2,503.4517,0.0002,503.45208,0.00006,22,,,,11.7461558,14.2081505,3d54s4p,4P,3/2,3d66d,114596,3/2,
Fe,2,503.4765,0.0002,503.47531,0.00003,60,1.3e+06,-1.72,D+,10.3914073,12.8532884,3d64d,6D,5/2,3d64f,2[1],3/2,
Fe,2,,,503.53990,0.00009,,7.7e-02,-8.929,C,2.27642922,4.7379945,3d7,a 2P,3/2,3d64s,c 2D,3/2,E2
Fe,1,503.56999,0.00003,,,5200,,,,,,,,,,,,
Fe,2,503.56999,0.00002,503.57000,0.00003,7000,9.4e+07,0.63,B+,10.2880497,12.7494678,3d64d,e 6F,9/2,3d64f,2[5],11/2,
Fe,2,503.67127,0.00003,503.671234,0.000020,400,1.19e+07,-0.56,C+,10.3914073,12.8523307,3d64d,6D,5/2,3d64f,2[2],5/2,
Fe,1,503.6922,0.0005,503.69214,0.00004,141,4.7e+04,-3.04,E,3.01725044,5.47807170,3d74s,c 3P,2,3d64s4p,w 5D,2,
Fe,2,,,503.90961,0.00003,,2.24e-03,-10.166,D+,0.23217279,2.69193206,3d7,a 4F,9/2,3d64s,a 4H,7/2,E2
Fe,1,503.92516,0.00008,503.92512,0.00004,2690,6.38e+05,-1.573,B,3.36825640,5.82793998,3d64s4p,z 5F,4,3d75s,e 5F,5,
Fe,2,503.9699,0.0006,503.97049,0.00013,11,,,,11.5466334,14.0060955,3d64p,4D,7/2,3d54p2,6P,7/2,
Fe,2,504.0240,0.0009,504.02400,0.00003,14,,,,11.2321638,13.6913649,3d65p,6F,3/2,3d64d,4F,5/2,
Fe,1,504.0240,0.0005,504.02535,0.00004,79,,,,4.22036211,6.67955657,3d74p,y 5F,4,3d74d,e 5H,5,
Fe,2,504.07504,0.00004,504.07511,0.00003,350,1.51e+07,-0.64,C+,10.3599422,12.8188939,3d64d,e 6F,1/2,3d64f,2[2],3/2,
Fe,1,504.08522,0.00008,504.08518,0.00004,850,,,,4.25622280,6.71512541,3d74p,y 5F,3,3d74d,f 5G,3,
Fe,1,504.09058,0.00008,504.09062,0.00004,2820,,,,4.28330826,6.74218434,3d74p,y 5F,2,3d74d,e 3G,3,
Fe,1,504.10713,0.00008,504.10714,0.00004,17800,4.29e+04,-3.087,B,0.95815732,3.41695281,3d74s,a 5F,3,3d64s4p,z 5F,2,
Fe,1,504.13471,0.00020,504.13467,0.00004,204,,,,3.01725044,5.47591165,3d74s,c 3P,2,3d64s4p,v 5D,3,
Fe,1,504.14473,0.00020,504.14479,0.00006,91,,,,4.54850612,7.00711799,3d74p,y 3F,4,3d76s,5F,4,
Fe,1,504.17557,0.00008,504.17555,0.00004,56000,2.35e+05,-2.203,B,1.48486439,3.94332623,3d74s,a 3F,4,3d64s4p,z 3F,3,
Fe,1,504.18482,0.00020,504.18486,0.00004,68,,,,4.28330826,6.74172473,3d74p,y 5F,2,3d74d,f 5G,2,
Fe,5,,,504.326,0.015,,2.1e-01,,C+,3.28164,5.73936,3d4,3P2,2,3d4,1D2,2,M1
Fe,2,504.3528,,504.35280,0.00003,:,8.03e-02,-8.736,C+,0.38651921,2.84411707,3d7,a 4F,3/2,3d64s,b 4F,5/2,E2
Fe,1,504.42111,0.00008,504.42106,0.00004,1660,2.29e+05,-2.017,B,2.85122419,5.30848946,3d64s4p,z 7F,4,3d64s 5s,e 7D,5,
Fe,2,504.51067,0.00002,504.51064,0.00003,1000,4.3e+07,-0.00,B+,10.3076133,12.7644423,3d64d,e 6F,7/2,3d64f,2[3],5/2,
Fe,3,504.5789,0.0020,504.5797,0.0008,18,2.5e+06,-1.3,D,20.870239,23.326732,3d55p,5P,3,3d55s,5D,2,
Fe,1,504.6363,0.0004,504.63637,0.00008,129,,,,5.00952178,7.4657386,3d64s4p,x 5D,1,3d64s4d,3P,1,
Fe,2,504.76319,0.00002,504.763186,0.000021,1200,1.90e+07,-0.24,C+,10.3076133,12.7632131,3d64d,e 6F,7/2,3d64f,2[3],7/2,
Fe,2,,,504.81844,0.00009,,4.59e-01,-7.978,C+,2.27642922,4.7317602,3d7,a 2P,3/2,3d64s,c 2D,5/2,E2
Fe,2,504.84356,0.00002,504.84358,0.00003,1900,3.9e+06,-1.22,D+,10.3289055,12.7841142,3d64d,e 6F,5/2,3d64f,2[1],3/2,
Fe,1,504.8436,0.0005,504.84356,0.00004,1820,4.88e+06,-1.030,B,3.95972364,6.41493251,3d64s4p,z 3D,1,3d64s 5s,e 3D,2,
Fe,2,,,504.92976,0.00003,,2.05e-03,-10.11,D+,0.35186476,2.80665448,3d7,a 4F,5/2,3d64s,b 4F,9/2,E2
Fe,1,504.98194,0.00008,504.98193,0.00004,27500,1.65e+06,-1.355,B,2.27860466,4.73314079,3d64s2,a 3P2,2,3d74p,y 3D,3,
Fe,1,505.16342,0.00008,505.16343,0.00004,38900,4.65e+04,-2.795,A,0.91460217,3.36825640,3d74s,a 5F,4,3d64s4p,z 5F,4,
Fe,1,,,505.20951,0.00003,,8.2e-03,,E,0.0000000,2.45343044,3d64s2,a 5D,4,3d64s2,a 3H,4,M1
Fe,1,505.29811,0.00020,505.29814,0.00006,324,,,,3.26711257,5.72011266,3d74s,b 3H,5,3d64s4p,z 3I,5,
Fe,2,505.3917,0.0005,505.39118,0.00004,4,,,,12.7908695,15.2434180,3d64d,4F,9/2,3d64f,2[3],7/2,
Fe,3,505.4230,0.0012,505.4226,0.0008,120,1.2e+07,-0.49,C,20.870239,23.322635,3d55p,5P,3,3d55s,5D,3,
Fe,1,505.46423,0.00008,505.46423,0.00004,550,4.47e+05,-1.921,C+,3.63977237,6.09196644,3d64s2,b 3D,2,3d64s4p,v 3D,3,
Fe,3,505.4786,0.0012,505.4788,0.0008,19,,,,13.129349,15.581472,3d54s,3D,1,3d54p,3F,2,
Fe,1,505.5991,0.0005,505.59926,0.00004,79,3.0e+05,-1.99,E,4.31247059,6.76400977,3d74p,z 5G,5,3d74d,e 3H,4,
Fe,1,505.68408,0.00020,505.68414,0.00004,158,1.0e+06,-1.94,E,4.26045326,6.71158094,3d64s4p,z 3P,1,3d74d,h 5D,1,
Fe,2,505.6989,0.0007,505.698008,0.000023,10,,,,11.1638849,13.6149454,3d65p,4F,9/2,3d64d,4F,9/2,
Fe,1,505.7483,0.0005,505.74789,0.00013,132,,,,4.41527878,6.8660975,3d74p,z 5G,3,3d74d,f 3F,2,
Fe,1,505.7483,0.0005,505.74807,0.00004,132,,,,4.19086081,6.64167865,3d74p,y 5D,2,3d74d,f 5P,2,
Fe,3,505.7560,0.0020,505.7583,0.0010,7.1,,,,13.130704,15.581472,3d54s,3D,2,3d54p,3F,2,
Fe,1,505.84971,0.00020,505.84962,0.00004,45,,,,3.64164057,6.09196644,3d64s2,b 3D,3,3d64s4p,v 3D,3,
Fe,2,505.9433,0.0009,505.94367,0.00006,1.7,,,,13.4068420,15.8567123,3d64d,4H,13/2,3d64f,2[7],15/2,
Fe,1,506.00341,0.00020,506.00355,0.00004,20,,,,4.30127816,6.75085864,3d74p,y 5F,1,3d74d,f 3D,1,
